group;area;intensity
Cont;0,345665516;0,385135638
Cont;0,374298677;0,420460071
Cont;0,380192742;0,421132993
Cont;0,336041185;0,380585639
Cont;0,352115583;0,389073642
Cont;0,321949968;0,364469423
Cont;0,367731693;0,404002131
Cont;0,418475055;0,462268812
Cont;0,377073085;0,425700794
Cont;0,375658981;0,421205782
Cont;0,377799824;0,423095947
Cont;0,400024292;0,44925063
Cont;0,348069753;0,392040126
Cont;0,41066675;0,452642641
Cont;0,374587924;0,414007666
Cont;0,326087427;0,379578652
Cont;0,474045672;0,520302014
Cont;0,32325986;0,375319427
Cont;0,272011864;0,31504362
Cont;0,308164392;0,354045199
Cont;0,301667177;0,348104403
Cont;0,292739665;0,344098277
Cont_cef;0,401430789;0,474901652
Cont_cef;0,42460606;0,4983015
Cont_cef;0,409281611;0,491581233
Cont_cef;0,408443074;0,485790245
Cont_cef;0,430340503;0,501936926
Cont_cef;0,417453125;0,49327687
Cont_cef;0,385999613;0,469469525
Cont_cef;0,421169536;0,502386935
Cont_cef;0,400305307;0,481547693
Cont_cef;0,423667895;0,510297763
Cont_cef;0,404681755;0,488154279
Cont_cef;0,415500697;0,490425198
Cont_cef;0,435003853;0,54670782
Cont_cef;0,410772123;0,490984362
Cont_cef;0,317120185;0,42953146
Cont_cef;0,349411236;0,453112356
Cont_cef;0,381036932;0,474107207
Cont_cef;0,399280855;0,476405965
Cont_cef;0,443796321;0,523212764
Cont_cef;0,368958582;0,445389693
Cont_cef;0,367506971;0,451414392
Cont_cef;0,413901175;0,489071863
TBI_3D;0,03079726;0,054241621
TBI_3D;0,065180977;0,099412571
TBI_3D;0,063501454;0,095901456
TBI_3D;0,122946536;0,163552445
TBI_3D;0,118758591;0,15789965
TBI_3D;0,082013963;0,116993799
TBI_3D;0,086335834;0,122004476
TBI_3D;0,068336931;0,10141942
TBI_3D;0,072868579;0,107685517
TBI_3D;0,064518552;0,102499119
TBI_3D;0,035549668;0,066518654
TBI_3D;0,115939032;0,154866286
TBI_3D;0,109181544;0,150401197
TBI_3D;0,06080286;0,094761315
TBI_3D;0,066266363;0,099905204
TBI_3D;0,061793432;0,095708953
TBI_3D;0,036185297;0,066391061
TBI_3D;0,0398028;0,070580691
TBI_3D;0,029183709;0,059230931
TBI_3D;0,026088793;0,055372705
TBI_3D;0,047217443;0,080692849
TBI_3D;0,039127466;0,064860994
TBI_3D;0,032923508;0,056012624
TBI_3D;0,038273164;0,065051402
TBI_3D;0,042710344;0,068778193
TBI_3D;0,04794734;0,072667944
TBI_3D;0,023061222;0,045932844
TBI_3D;0,022971487;0,046659496
TBI_3D;0,011848199;0,031794556
TBI_3D;0,011920611;0,031136173
TBI_3D;0,036854676;0,058156761
TBI_3D;0,068966861;0,109805341
TBI_3D;0,045674731;0,084850009
TBI_3D;0,094400583;0,13962906
TBI_3D;0,05143418;0,089837706
TBI_3D_cef;0,103088943;0,140097304
TBI_3D_cef;0,123957567;0,165233915
TBI_3D_cef;0,118039649;0,1709527
TBI_3D_cef;0,106070953;0,14366844
TBI_3D_cef;0,075626348;0,108763076
TBI_3D_cef;0,103304229;0,141541947
TBI_3D_cef;0,11487997;0,154573654
TBI_3D_cef;0,107412801;0,141788626
TBI_3D_cef;0,1299655;0,168656077
TBI_3D_cef;0,093285574;0,128349363
TBI_3D_cef;0,103174328;0,139904067
TBI_3D_cef;0,11330442;0,157675502
TBI_3D_cef;0,126940551;0,167579901
TBI_3D_cef;0,119278249;0,167093456
TBI_3D_cef;0,103904473;0,144147456
TBI_3D_cef;0,095230367;0,129410909
TBI_3D_cef;0,159947328;0,206680835
TBI_3D_cef;0,157800184;0,205259391
TBI_3D_cef;0,152798709;0,197481549
TBI_3D_cef;0,095115467;0,133338884
TBI_3D_cef;0,097186364;0,136441414
TBI_3D_cef;0,071910896;0,107742047
TBI_3D_cef;0,11698975;0,17815926
TBI_3D_cef;0,051523462;0,079649599
TBI_3D_cef;0,05820885;0,088609922
TBI_3D_cef;0,060626626;0,090270204
TBI_3D_cef;0,056234643;0,086320461
TBI_3D_cef;0,081753937;0,117843016
TBI_3D_cef;0,083028233;0,119657487
TBI_3D_cef;0,06878058;0,105537644
TBI_3D_cef;0,066840035;0,103312664
TBI_3D_cef;0,076188454;0,116082859
TBI_3D_cef;0,177418703;0,216635892
TBI_7D;0,070299662;0,106421689
TBI_7D;0,083875803;0,120154272
TBI_7D;0,0507464;0,074694144
TBI_7D;0,054996005;0,087685055
TBI_7D;0,062112577;0,089832028
TBI_7D;0,05237301;0,079013024
TBI_7D;0,057947219;0,086661893
TBI_7D;0,062601126;0,092972797
TBI_7D;0,059846599;0,092159435
TBI_7D;0,060507389;0,094492935
TBI_7D;0,066486009;0,093779516
TBI_7D;0,070762917;0,09785555
TBI_7D;0,093145033;0,119846239
TBI_7D;0,132956943;0,1655415
TBI_7D;0,065982742;0,105768166
TBI_7D;0,068627232;0,10708596
TBI_7D;0,052465473;0,084428663
TBI_7D;0,071663721;0,100946792
TBI_7D;0,061409811;0,097527571
TBI_7D;0,067644185;0,104615378
TBI_7D;0,068705493;0,106784457
TBI_7D;0,062436519;0,101999562
TBI_7D;0,049070046;0,086080143
TBI_7D;0,04110258;0,068741256
TBI_7D;0,054426713;0,090295957
TBI_7D;0,058532639;0,095574415
TBI_7D;0,059637325;0,100241028
TBI_7D;0,063590228;0,105590992
TBI_7D;0,055639381;0,084849539
TBI_7D;0,055111599;0,083921814
TBI_7D;0,057741409;0,096567343
TBI_7D;0,053394123;0,091680847
TBI_7D;0,048130457;0,072255673
TBI_7D;0,040123027;0,072631639
TBI_7D;0,055153416;0,093182536
TBI_7D;0,061427915;0,100157656
TBI_7D_cef;0,075335474;0,109435893
TBI_7D_cef;0,061168876;0,091310188
TBI_7D_cef;0,062911641;0,096289497
TBI_7D_cef;0,066791088;0,095526366
TBI_7D_cef;0,045980056;0,073912843
TBI_7D_cef;0,046338518;0,076938718
TBI_7D_cef;0,049723601;0,083704003
TBI_7D_cef;0,053638307;0,081612728
TBI_7D_cef;0,038403368;0,06391289
TBI_7D_cef;0,035992677;0,060033603
TBI_7D_cef;0,038274179;0,064829955
TBI_7D_cef;0,046537821;0,073630983
TBI_7D_cef;0,059756802;0,091883864
TBI_7D_cef;0,057071891;0,089828009
TBI_7D_cef;0,05024682;0,07899804
TBI_7D_cef;0,052229613;0,08024778
TBI_7D_cef;0,048426416;0,079231887
TBI_7D_cef;0,091259622;0,125307457
TBI_7D_cef;0,044594458;0,07435411
TBI_7D_cef;0,041294811;0,068110989
TBI_7D_cef;0,044120692;0,071333051
TBI_7D_cef;0,046219953;0,075976333
TBI_7D_cef;0,03808226;0,064008565
TBI_7D_cef;0,038524057;0,066147364
TBI_7D_cef;0,042553392;0,070045942
TBI_7D_cef;0,06368217;0,10039405
TBI_7D_cef;0,07373868;0,108599135
TBI_7D_cef;0,088110688;0,123278612
TBI_7D_cef;0,083919037;0,118595856
TBI_7D_cef;0,100581883;0,135664785
TBI_14D;0,112529451;0,145392848
TBI_14D;0,119588917;0,154073191
TBI_14D;0,072808247;0,094341513
TBI_14D;0,090417256;0,1148655
TBI_14D;0,137300227;0,166078685
TBI_14D;0,112741292;0,140644166
TBI_14D;0,136669349;0,166215499
TBI_14D;0,129709253;0,158808859
TBI_14D;0,16118208;0,19620692
TBI_14D;0,137361412;0,166844293
TBI_14D;0,132386427;0,159423795
TBI_14D;0,141574873;0,170725995
TBI_14D;0,104234743;0,127878266
TBI_14D;0,10559858;0,134402639
TBI_14D;0,126126634;0,152482219
TBI_14D;0,132504389;0,159872685
TBI_14D;0,112706991;0,137786356
TBI_14D;0,112104006;0,136378858
TBI_14D;0,102239271;0,127241178
TBI_14D;0,086564499;0,107696142
TBI_14D;0,088042779;0,110624418
TBI_14D;0,125524258;0,153070509
TBI_14D;0,110656724;0,137490066
TBI_14D;0,108331913;0,134715993
TBI_14D;0,105216181;0,130574429
TBI_14D_cef;0,215046762;0,273093829
TBI_14D_cef;0,222707437;0,27816813
TBI_14D_cef;0,172161551;0,220899107
TBI_14D_cef;0,167654337;0,214316866
TBI_14D_cef;0,166724752;0,21696048
TBI_14D_cef;0,170422539;0,222965282
TBI_14D_cef;0,153881869;0,202023328
TBI_14D_cef;0,241146459;0,297502017
TBI_14D_cef;0,245628265;0,291907559
TBI_14D_cef;0,264727418;0,317976809
TBI_14D_cef;0,238024338;0,285722015
TBI_14D_cef;0,230409857;0,277524577
TBI_14D_cef;0,238045475;0,283223781
TBI_14D_cef;0,2344871;0,278448476
TBI_14D_cef;0,217727173;0,261210959
TBI_14D_cef;0,235602109;0,282923958
TBI_14D_cef;0,265174485;0,315972525
TBI_14D_cef;0,260199975;0,30923441
TBI_14D_cef;0,255555646;0,306347226
TBI_14D_cef;0,260698097;0,316628795
TBI_14D_cef;0,272058945;0,316400327
TBI_14D_cef;0,251693519;0,303124059
TBI_14D_cef;0,230472715;0,281204656
TBI_14D_cef;0,236660636;0,287720782
TBI_14D_cef;0,22099608;0,263926432
TBI_14D_cef;0,225420712;0,269992373
TBI_14D_cef;0,238405341;0,284593209
TBI_14D_cef;0,215058983;0,261101848
TBI_14D_cef;0,251082656;0,301520919
TBI_14D_cef;0,242807658;0,293759962
TBI_14D_cef;0,279690548;0,329835262
TBI_14D_cef;0,267273959;0,314776125
TBI_14D_cef;0,244517116;0,296954776
TBI_14D_cef;0,240187654;0,290282067
TBI_14D_cef;0,203635354;0,24731631
TBI_14D_cef;0,218817341;0,26553113
TBI_14D_cef;0,237454869;0,286799403
TBI_14D_cef;0,232031992;0,28045747
TBI_14D_cef;0,205008627;0,255022715
TBI_14D_cef;0,203792303;0,252048323
TBI_14D_cef;0,199163109;0,251169086
TBI_14D_cef;0,202619098;0,254420061
TBI_14D_cef;0,251979082;0,299980639
TBI_14D_cef;0,229630493;0,278108988
TBI_14D_cef;0,253790822;0,306896711
TBI_14D_cef;0,239789747;0,292592695
