Cont;Cont_cef;TBI_3D;TBI_3D_cef;TBI_7D;TBI_7D_cef;TBI_14D;TBI_14D_cef
0,345665516;0,401430789;0,03079726;0,103088943;0,070299662;0,075335474;0,112529451;0,215046762
0,374298677;0,42460606;0,065180977;0,123957567;0,083875803;0,061168876;0,119588917;0,222707437
0,380192742;0,409281611;0,063501454;0,118039649;0,0507464;0,062911641;0,072808247;0,172161551
0,336041185;0,408443074;0,122946536;0,106070953;0,054996005;0,066791088;0,090417256;0,167654337
0,352115583;0,430340503;0,118758591;0,075626348;0,062112577;0,045980056;0,137300227;0,166724752
0,321949968;0,417453125;0,082013963;0,103304229;0,05237301;0,046338518;0,112741292;0,170422539
0,367731693;0,385999613;0,086335834;0,11487997;0,057947219;0,049723601;0,136669349;0,153881869
0,418475055;0,421169536;0,068336931;0,107412801;0,062601126;0,053638307;0,129709253;0,241146459
0,377073085;0,400305307;0,072868579;0,1299655;0,059846599;0,038403368;0,16118208;0,245628265
0,375658981;0,423667895;0,064518552;0,093285574;0,060507389;0,035992677;0,137361412;0,264727418
0,377799824;0,404681755;0,035549668;0,103174328;0,066486009;0,038274179;0,132386427;0,238024338
0,400024292;0,415500697;0,115939032;0,11330442;0,070762917;0,046537821;0,141574873;0,230409857
0,348069753;0,435003853;0,109181544;0,126940551;0,093145033;0,059756802;0,104234743;0,238045475
0,41066675;0,410772123;0,06080286;0,119278249;0,132956943;0,057071891;0,10559858;0,2344871
0,374587924;0,317120185;0,066266363;0,103904473;0,065982742;0,05024682;0,126126634;0,217727173
0,326087427;0,349411236;0,061793432;0,095230367;0,068627232;0,052229613;0,132504389;0,235602109
0,474045672;0,381036932;0,036185297;0,159947328;0,052465473;0,048426416;0,112706991;0,265174485
0,32325986;0,399280855;0,0398028;0,157800184;0,071663721;0,091259622;0,112104006;0,260199975
0,272011864;0,443796321;0,029183709;0,152798709;0,061409811;0,044594458;0,102239271;0,255555646
0,308164392;0,368958582;0,026088793;0,095115467;0,067644185;0,041294811;0,086564499;0,260698097
0,301667177;0,367506971;0,047217443;0,097186364;0,068705493;0,044120692;0,088042779;0,272058945
0,292739665;0,413901175;0,039127466;0,071910896;0,062436519;0,046219953;0,125524258;0,251693519
;;0,032923508;0,11698975;0,049070046;0,03808226;0,110656724;0,230472715
;;0,038273164;0,051523462;0,04110258;0,038524057;0,108331913;0,236660636
;;0,042710344;0,05820885;0,054426713;0,042553392;0,105216181;0,22099608
;;0,04794734;0,060626626;0,058532639;0,06368217;;0,225420712
;;0,023061222;0,056234643;0,059637325;0,07373868;;0,238405341
;;0,022971487;0,081753937;0,063590228;0,088110688;;0,215058983
;;0,011848199;0,083028233;0,055639381;0,083919037;;0,251082656
;;0,011920611;0,06878058;0,055111599;0,100581883;;0,242807658
;;0,036854676;0,066840035;0,057741409;;;0,279690548
;;0,068966861;0,076188454;0,053394123;;;0,267273959
;;0,045674731;0,177418703;0,048130457;;;0,244517116
;;0,094400583;;0,040123027;;;0,240187654
;;0,05143418;;0,055153416;;;0,203635354
;;;;0,061427915;;;0,218817341
;;;;;;;0,237454869
;;;;;;;0,232031992
;;;;;;;0,205008627
;;;;;;;0,203792303
;;;;;;;0,199163109
;;;;;;;0,202619098
;;;;;;;0,251979082
;;;;;;;0,229630493
;;;;;;;0,253790822
;;;;;;;0,239789747
