group,day,num,int,cluster,soma
cont,1d,9,26949139,576,60
cont,1d,19,34385365,647,55
cont,1d,3,39546886,742,54
cont,1d,2,28200586,573,64
cont,1d,11,85447831,624,52
cont,1d,1,7432116,315,57
cont,1d,6,30969266,665,60
cont,1d,7,29078856,560,46
cont,1d,8,28093801,608,49
cont,1d,5,29215547,590,68
cont,1d,12,34102985,617,73
cont,1d,4,28009029,596,54
cont,1d,20,40814606,619,57
cont,1d,13,27230323,460,51
cont,1d,14,59455384,769,57
cont,1d,16,31162180,648,62
cont,1d,10,99506427,995,69
cont,1d,17,41596913,694,56
cont,1d,18,22885118,495,52
cont,1d,15,26742689,561,49
